dealId,buyerId,dealSector,dealGeography,dealRevenue,dealEbitda,dealSize,buyerType,buyerSectorFocus,buyerGeographies,buyerMinDeal,buyerMaxDeal,buyerMinEbitda,buyerMaxEbitda,buyerDryPowder,buyerPastDeals,buyerSynergyPropensity,sectorMatch,geoMatch,sizeFit,dryPowderFit,activityLevel,ebitdaFit,pPursue,pNda,pIoi,outcomeStage,label
syn_d1,syn_b59,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Healthcare|Software,US|Europe,39.972,400.0,2.309,32.9,0.0,24,0.7835,0,0,0,0.65,1.0,1,0.799934,0.374224,0.171601,No,0
syn_d1,syn_b26,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Software,US,11.932,89.199,1.0,10.243,175.149,21,0.4987,0,0,1,0.574037,1.0,1,0.765659,0.45952,0.229046,IOI,1
syn_d1,syn_b105,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Business Services,US,117.27,467.433,9.514,43.549,581.297,19,0.3661,0,0,0,1.0,0.95,0,0.654851,0.248899,0.07451,Pursue,0
syn_d1,syn_b96,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Business Services,US,20.202,89.182,1.218,7.944,209.68,27,0.2868,0,0,1,0.687209,1.0,1,0.740389,0.321181,0.209849,NDA,0
syn_d1,syn_b129,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Healthcare,US|UK,177.066,800.0,13.269,71.314,1542.524,28,0.4677,0,0,0,1.0,1.0,0,0.709601,0.21473,0.083179,Pursue,0
syn_d1,syn_b103,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Software,US,54.303,236.8,3.467,21.408,285.295,18,0.3631,0,0,0,0.935031,0.9,1,0.7192,0.168541,0.074222,Pursue,0
syn_d1,syn_b167,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Manufacturing|Healthcare,US,57.633,206.923,3.937,31.916,588.574,6,0.3814,1,0,0,1.0,0.3,1,0.811601,0.387749,0.241599,Pursue,0
syn_d1,syn_b144,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Manufacturing,US,38.763,151.871,2.531,14.471,279.471,20,0.3493,1,0,0,0.915944,1.0,1,0.840511,0.474927,0.289659,Pursue,0
syn_d1,syn_b238,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Business Services|Healthcare,US,20.792,90.417,1.307,11.408,182.934,12,0.4644,0,0,1,0.599551,0.6,1,0.756205,0.416631,0.278642,Pursue,0
syn_d1,syn_b147,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Consumer|Manufacturing,US,64.566,218.771,4.226,31.247,376.846,18,0.3464,1,0,0,1.0,0.9,1,0.868821,0.586234,0.382399,NDA,0
syn_d1,syn_b40,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Healthcare|Business Services,US|Canada,36.989,187.972,2.176,25.203,428.788,10,0.268,0,1,0,1.0,0.5,1,0.824492,0.459175,0.338271,IOI,1
syn_d1,syn_b226,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Healthcare|Manufacturing|Consumer,US,42.507,153.549,2.279,12.484,431.366,23,0.3445,1,0,0,1.0,1.0,1,0.799082,0.309126,0.143638,Pursue,0
syn_d1,syn_b49,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Software,US|UK,117.915,900.0,9.315,80.831,0.0,6,0.8091,0,0,0,0.65,0.3,0,0.550753,0.168284,0.050643,Pursue,0
syn_d1,syn_b108,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Software,US,94.138,600.0,4.912,62.498,0.0,18,0.8678,0,0,0,0.65,0.9,1,0.79571,0.355555,0.190155,No,0
syn_d1,syn_b125,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Healthcare|Business Services,US,25.372,142.329,1.317,11.804,358.718,20,0.4928,0,0,1,1.0,1.0,1,0.788005,0.403137,0.226109,IOI,1
syn_d1,syn_b245,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Healthcare|Consumer,US,77.794,900.0,5.701,94.219,0.0,4,0.7883,0,0,0,0.65,0.2,1,0.671468,0.301731,0.155068,NDA,0
syn_d1,syn_b113,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Business Services,US,128.556,638.045,9.126,51.885,1343.252,11,0.4266,0,0,0,1.0,0.55,0,0.649982,0.252587,0.097643,No,0
syn_d1,syn_b197,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Software,US|Canada,50.753,172.326,2.795,23.785,277.26,24,0.3184,0,1,0,0.908697,1.0,1,0.836677,0.464792,0.25177,NDA,0
syn_d1,syn_b160,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Healthcare|Manufacturing,US,32.103,110.622,1.622,13.339,236.363,24,0.3077,1,0,0,0.774661,1.0,1,0.836824,0.608108,0.329645,NDA,0
syn_d1,syn_b231,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Business Services,US,54.48,285.917,3.286,47.299,391.728,11,0.4661,0,0,0,1.0,0.55,1,0.709206,0.332939,0.12423,Pursue,0
syn_d1,syn_b151,Manufacturing,Canada,21.4818,6.1749,30.5118,Private Equity,Consumer,US|UK,27.538,117.565,1.706,19.46,285.706,25,0.2936,0,0,1,0.936378,1.0,1,0.828393,0.411902,0.193264,NDA,0
syn_d1,syn_b88,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Consumer|Business Services,US|Europe,55.449,600.0,3.987,85.689,0.0,17,0.6921,0,0,0,0.65,0.85,1,0.694396,0.283536,0.127305,Pursue,0
syn_d1,syn_b178,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Manufacturing,US,25.134,150.0,1.349,12.668,0.0,8,0.8007,1,0,1,0.65,0.4,1,0.826899,0.594505,0.440237,IOI,1
syn_d1,syn_b136,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Software|Business Services,US|Europe,35.661,250.0,2.88,27.366,0.0,12,0.655,0,0,0,0.65,0.6,1,0.713415,0.296243,0.151016,IOI,1
syn_d1,syn_b192,Manufacturing,Canada,21.4818,6.1749,30.5118,Strategic,Manufacturing,US|UK,25.0,150.0,1.74,15.858,0.0,13,0.7273,1,0,1,0.65,0.65,1,0.895921,0.523116,0.411037,IOI,1
syn_d2,syn_b71,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Healthcare|Business Services|Software,US,84.652,364.558,6.402,44.884,591.138,9,0.4743,0,1,0,1.0,0.45,0,0.63884,0.230322,0.083929,Pursue,0
syn_d2,syn_b46,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Healthcare,US|UK,139.433,800.0,7.224,97.541,1947.203,27,0.2609,0,1,0,1.0,1.0,0,0.734977,0.244121,0.080506,Pursue,0
syn_d2,syn_b8,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Consumer|Manufacturing|Healthcare,US,22.857,165.157,1.227,23.163,415.765,17,0.3162,1,1,0,1.0,0.85,1,0.835184,0.593462,0.376519,NDA,0
syn_d2,syn_b94,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Consumer,US,82.149,288.996,4.946,23.522,358.322,26,0.467,1,1,0,1.0,1.0,0,0.811519,0.365078,0.260256,Pursue,0
syn_d2,syn_b174,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Business Services|Software,US|UK,13.695,106.659,1.0,13.389,159.856,18,0.4368,0,1,0,1.0,0.9,1,0.792839,0.380777,0.273547,NDA,0
syn_d2,syn_b205,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Manufacturing|Software,US|Canada,82.539,558.204,5.224,56.757,688.863,26,0.4017,0,1,0,1.0,1.0,0,0.824579,0.382861,0.203978,NDA,0
syn_d2,syn_b170,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Manufacturing,US,63.924,219.537,4.182,27.116,321.851,28,0.3688,0,1,0,1.0,1.0,0,0.813054,0.283449,0.142991,No,0
syn_d2,syn_b177,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Manufacturing|Software,US,72.216,425.88,4.448,53.111,557.472,18,0.4794,0,1,0,1.0,0.9,0,0.772801,0.425932,0.245645,Pursue,0
syn_d2,syn_b90,Consumer,US,51.1565,1.5389,12.5906,Strategic,Healthcare,US,54.84,400.0,3.893,59.131,0.0,13,0.851,0,1,0,0.65,0.65,0,0.579812,0.215122,0.086143,NDA,0
syn_d2,syn_b230,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Healthcare,US,50.944,261.02,3.044,28.032,508.936,27,0.4422,0,1,0,1.0,1.0,0,0.790812,0.357713,0.175207,Pursue,0
syn_d2,syn_b106,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Consumer,US|UK,90.784,303.32,4.9,42.157,437.356,17,0.3825,1,1,0,1.0,0.85,0,0.831995,0.329249,0.191883,IOI,1
syn_d2,syn_b7,Consumer,US,51.1565,1.5389,12.5906,Strategic,Consumer|Business Services|Healthcare,US|Mexico|Canada,31.016,250.0,2.42,25.082,0.0,8,0.8002,1,1,0,0.65,0.4,0,0.775713,0.399143,0.21981,NDA,0
syn_d2,syn_b169,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Software|Consumer,US,70.958,350.545,3.683,32.466,763.87,14,0.3732,1,1,0,1.0,0.7,0,0.785087,0.509435,0.287667,IOI,1
syn_d2,syn_b181,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Consumer,US|Canada,46.159,371.658,2.351,49.365,945.051,21,0.2805,1,1,0,1.0,1.0,0,0.846797,0.546021,0.376072,IOI,1
syn_d2,syn_b180,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Healthcare,US,97.063,382.527,5.101,55.287,453.044,27,0.4122,0,1,0,1.0,1.0,0,0.767172,0.300816,0.212442,IOI,1
syn_d2,syn_b119,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Consumer,US,41.165,314.986,3.024,38.536,646.35,17,0.3529,1,1,0,1.0,0.85,0,0.813937,0.420043,0.146804,Pursue,0
syn_d2,syn_b64,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Healthcare,US,93.714,348.673,4.733,31.52,455.719,23,0.4308,0,1,0,1.0,1.0,0,0.79199,0.360223,0.228438,No,0
syn_d2,syn_b217,Consumer,US,51.1565,1.5389,12.5906,Private Equity,Manufacturing,US|Mexico|UK,140.248,576.842,7.452,54.298,1499.231,6,0.4144,0,1,0,1.0,0.3,0,0.688365,0.280249,0.113875,No,0
